Date,Open
2019-06-11,195.08
2019-06-12,196.22
2019-06-13,200.84
2019-06-14,204.44
2019-06-17,217.17
2019-06-18,222.92
2019-06-19,218.15
2019-06-20,219.82
2019-06-21,225.87
2019-06-24,259.14
2019-06-25,252.35
2019-06-26,260.36
2019-06-27,274.11
2019-06-28,239.28
2019-07-01,253.89
2019-07-02,236.91
2019-07-03,238.63
2019-07-05,255.1
2019-07-08,254.14
2019-07-09,264.93
2019-07-10,269.03
2019-07-11,250.85
2019-07-12,237.44
2019-07-15,222.62
2019-07-16,224.81
2019-07-17,200.48
2019-07-18,207.7
2019-07-19,221.13
2019-07-22,222.06
2019-07-23,217.32
2019-07-24,213.06
2019-07-25,206.04
2019-07-26,209.06
2019-07-29,201.42
2019-07-30,202.09
2019-07-31,202.59
2019-08-01,211.06
2019-08-02,216.35
2019-08-05,223.94
2019-08-06,238.6
2019-08-07,232.01
2019-08-08,238.01
2019-08-09,234.31
2019-08-12,230.33
2019-08-13,228.56
2019-08-14,219.58
2019-08-15,205.18
2019-08-16,207.06
2019-08-19,209.46
2019-08-20,214.24
2019-08-21,214.4
2019-08-22,203.31
2019-08-23,204.43
2019-08-26,201.32
2019-08-27,205.48
2019-08-28,203.54
2019-08-29,193.36
2019-08-30,189.77
2019-09-03,203.76
2019-09-04,209.13
2019-09-05,207.09
2019-09-06,204.8
2019-09-09,204.79
2019-09-10,202.77
2019-09-11,199.76
2019-09-12,199.31
2019-09-13,203.5
2019-09-16,204.25
2019-09-17,204.42
2019-09-18,207.74
2019-09-19,208.87
2019-09-20,209.57
2019-09-23,202.57
2019-09-24,197.37
2019-09-25,170.84
2019-09-26,171.03
2019-09-27,162.26
2019-09-30,162.76
2019-10-01,167.06
2019-10-02,169.38
2019-10-03,167.72
2019-10-04,165.66
2019-10-07,163.08
2019-10-08,169.3
2019-10-09,168.43
2019-10-10,176.56
2019-10-11,175.81
2019-10-14,169.86
2019-10-15,172.22
2019-10-16,168.48
2019-10-17,164.92
2019-10-18,167.35
2019-10-21,169.35
2019-10-22,169.72
2019-10-23,168.28
2019-10-24,155.03
2019-10-25,156.21
2019-10-28,193.36
2019-10-29,191.39
2019-10-30,192.61
2019-10-31,187.44
2019-11-01,186.94
2019-11-04,187.65
2019-11-05,191.61
2019-11-06,191.49
2019-11-07,192.04
2019-11-08,189.87
2019-11-11,186.94
2019-11-12,181.39
2019-11-13,181.48
2019-11-14,182.21
2019-11-15,180.37
2019-11-18,179.77
2019-11-19,171.6
2019-11-20,169.36
2019-11-21,166.06
2019-11-22,157.11
2019-11-25,145.9
2019-11-26,147.33
2019-11-27,154.60000000000002
2019-11-29,155.1
2019-12-02,149.5
2019-12-03,149.3
2019-12-04,147.7
2019-12-05,151.2
2019-12-06,151.2
2019-12-09,149.8
2019-12-10,147.89999999999998
2019-12-11,146.6
2019-12-12,147.10000000000002
2019-12-13,147.10000000000002
2019-12-16,139.60000000000002
2019-12-17,132.20000000000002
2019-12-18,142.20000000000002
2019-12-19,142.20000000000002
2019-12-20,142.20000000000002
2019-12-23,144.4
2019-12-24,144.0
2019-12-26,142.3
2019-12-27,142.3
2019-12-30,145.1
2019-12-31,142.4
2020-01-02,138.7
2020-01-03,138.7
2020-01-06,153.7
2020-01-07,158.6
2020-01-08,158.2
2020-01-09,155.29999999999998
2020-01-10,155.29999999999998
2020-01-13,163.09
2020-01-14,162.72
2020-01-15,180.1
2020-01-16,181.76
2020-01-17,178.96
2020-01-21,180.37
2020-01-22,180.17
2020-01-23,179.57
2020-01-24,173.57
2020-01-27,177.16
2020-01-28,183.85
2020-01-29,186.88
2020-01-30,192.12
2020-01-31,196.83
2020-02-03,196.3
2020-02-04,194.3
2020-02-05,192.58
2020-02-06,203.91
2020-02-07,206.18
2020-02-10,215.54
2020-02-11,211.02
2020-02-12,219.04
2020-02-13,226.57
2020-02-14,224.27
2020-02-18,209.79
2020-02-19,220.24
2020-02-20,209.34
2020-02-21,207.75
2020-02-24,214.02
2020-02-25,207.34
2020-02-26,201.16
2020-02-27,184.89999999999998
2020-02-28,184.9
2020-03-02,180.82
2020-03-03,190.06
2020-03-04,186.3
2020-03-05,185.58
