Timestamp,Open,High,Low,Close,Volume
2019-03-15,3.759e-05,3.802e-05,3.701e-05,3.744e-05,2638477.0
2019-03-16,3.713e-05,3.777e-05,3.54e-05,3.553e-05,6031220.0
2019-03-17,3.571e-05,3.615e-05,3.543e-05,3.589e-05,2170640.0
2019-03-18,3.562e-05,3.637e-05,3.541e-05,3.591e-05,1168954.0
2019-03-19,3.594e-05,3.6e-05,3.501e-05,3.535e-05,1626094.0
2019-03-20,3.537e-05,3.676e-05,3.537e-05,3.651e-05,1833725.0
2019-03-21,3.631e-05,3.679e-05,3.571e-05,3.623e-05,2440729.0
2019-03-22,3.65e-05,4e-05,3.631e-05,3.83e-05,12032463.0
2019-03-23,3.805e-05,3.814e-05,3.67e-05,3.676e-05,4320150.0
2019-03-24,3.681e-05,3.741e-05,3.63e-05,3.741e-05,3310040.0
2019-03-25,3.728e-05,3.974e-05,3.607e-05,3.813e-05,14967576.0
2019-03-26,3.817e-05,4.464e-05,3.687e-05,4.08e-05,39653309.0
2019-03-27,4.081e-05,4.211e-05,3.862e-05,4e-05,15115031.0
2019-03-28,4e-05,4.298e-05,3.994e-05,4.187e-05,6559177.0
2019-03-29,4.21e-05,4.267e-05,4.031e-05,4.035e-05,7450179.0
2019-03-30,4.031e-05,4.056e-05,3.852e-05,3.931e-05,8893656.0
2019-03-31,3.938e-05,4.144e-05,3.93e-05,4.012e-05,4010687.0
2019-04-01,4.039e-05,4.204e-05,4.006e-05,4.12e-05,7624061.0
2019-04-02,4.132e-05,4.24e-05,3.7e-05,3.745e-05,16170488.0
2019-04-03,3.686e-05,3.856e-05,3.5e-05,3.761e-05,16289964.0
2019-04-04,3.742e-05,3.861e-05,3.64e-05,3.768e-05,4551608.0
2019-04-05,3.768e-05,3.859e-05,3.686e-05,3.762e-05,6748377.0
2019-04-06,3.763e-05,4.02e-05,3.65e-05,3.687e-05,8266197.0
2019-04-07,3.712e-05,4.088e-05,3.289e-05,3.644e-05,10606220.0
2019-04-08,3.644e-05,3.659e-05,3.433e-05,3.516e-05,17215143.0
2019-04-09,3.527e-05,3.539e-05,3.34e-05,3.427e-05,4139242.0
2019-04-10,3.411e-05,3.615e-05,3.36e-05,3.537e-05,5699820.0
2019-04-11,3.537e-05,3.75e-05,3.451e-05,3.506e-05,8408063.0
2019-04-12,3.482e-05,3.686e-05,3.455e-05,3.617e-05,2523616.0
2019-04-13,3.63e-05,3.697e-05,3.572e-05,3.575e-05,2584388.0
2019-04-14,3.589e-05,3.71e-05,3.565e-05,3.622e-05,3121844.0
2019-04-15,3.615e-05,3.729e-05,3.57e-05,3.63e-05,3109977.0
2019-04-16,3.63e-05,3.673e-05,3.57e-05,3.591e-05,1849315.0
2019-04-17,3.594e-05,3.646e-05,3.569e-05,3.638e-05,1460825.0
2019-04-18,3.615e-05,3.615e-05,3.472e-05,3.56e-05,2285119.0
2019-04-19,3.557e-05,3.77e-05,3.527e-05,3.602e-05,7118843.0
2019-04-20,3.625e-05,3.8e-05,3.473e-05,3.696e-05,4804344.0
2019-04-21,3.691e-05,3.858e-05,3.63e-05,3.819e-05,6893203.0
2019-04-22,3.805e-05,3.904e-05,3.65e-05,3.714e-05,8214895.0
2019-04-23,3.714e-05,3.767e-05,3.378e-05,3.506e-05,8810626.0
2019-04-24,3.5e-05,3.5e-05,3.103e-05,3.293e-05,9529245.0
2019-04-25,3.315e-05,3.394e-05,3.158e-05,3.253e-05,4539747.0
2019-04-26,3.231e-05,3.244e-05,3e-05,3.087e-05,6614926.0
2019-04-27,3.081e-05,3.207e-05,3.081e-05,3.151e-05,2197914.0
2019-04-28,3.163e-05,3.322e-05,3.012e-05,3.052e-05,6568591.0
2019-04-29,3.048e-05,3.119e-05,2.875e-05,2.949e-05,4600385.0
2019-04-30,2.936e-05,3.159e-05,2.855e-05,3e-05,7078219.0
2019-05-01,2.995e-05,3.159e-05,2.971e-05,3.009e-05,5584520.0
2019-05-02,3.01e-05,3.125e-05,2.992e-05,3.017e-05,1578586.0
2019-05-03,3.038e-05,3.066e-05,2.77e-05,2.866e-05,6796072.0
